,_record_id,_title,_updated_by,228_store_name,232_type_of_store,97_number_of_customers_in_store,268_number_fridges,104_how_many_shelves_does_the_micro_retailer_have,2_current_permanent_employees,4_number_permanent_employees_last_year,103_number_own_fridges,145_number_direct_competitors,24_burnout,271_card_fee,272_card_days_receive_money,273_platform_extra_charge,274_platform_fee,275_platform_days_receive_money,276_expected_days_informal_credit,36_credit_default_rate,315_frequency_topups,316_frequency_utility_bills,317_home_deliveries,62_frequency_only_services,78_number_home_deliveries_week,172_supplier_frequency,163_number_high_perishable_products
21,054d2e34-6343-451f-8d71-d87c1599a614,"November 9, 2022",Hiram Jiménez,dulce detalle,Grocery store (aka. nanostore),0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,b062ce9a-496c-47d1-a193-d8204cc8d968,"November 9, 2022",Hiram Jiménez,Jerusalen,Grocery store (aka. nanostore),0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,bc2a99bc-7c06-4746-85c9-9e53823d9183,"November 9, 2022",Hiram Jiménez,Salchichonerias San Pedro ,Butcher shop,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,9e202c7e-1c78-4a72-bb84-110a11f16f1a,"November 9, 2022",Hiram Jiménez,Abarrotes Diana,Grocery store (aka. nanostore),0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,dffe1660-c71a-40a5-9578-1335e9b18536,"November 9, 2022",Hiram Jiménez,Abarrotes jaime,Grocery store (aka. nanostore),2.0,3.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0
26,388f22fd-1484-4443-96b9-d6b7bc79f3b8,"November 9, 2022",Hiram Jiménez,Abarrotes el solecito,Grocery store (aka. nanostore),0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,22ab11ce-fc2c-4031-9f23-74e21486b0f6,"November 9, 2022",Harry Hernández,Miscelánea el zócalo ,Grocery store (aka. nanostore),2.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,99f132d3-41dc-47b7-9466-7db694dcd507,"November 9, 2022",Harry Hernández,La pirámide ,Grocery store (aka. nanostore),0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,721a3a26-9865-49f3-9974-dd002febe563,"November 9, 2022",Harry Hernández,Miscelánea teocalli ,Grocery store (aka. nanostore),0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1d47120b-bd60-4389-849e-68b9d9ba2696,"November 9, 2022",Harry Hernández,Carnicería la cubana ,Butcher shop,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,674ee633-fde4-4e5e-9460-2a98026928d5,"November 9, 2022",Harry Hernández,Providencia ,Grocery store (aka. nanostore),1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,cde7ae14-5752-4ada-ba91-d74819a7a1b0,"November 9, 2022",Harry Hernández,Carnicería la sorpresa ,Butcher shop,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,620401bb-43eb-43b3-a8c9-0e5361c3e9e9,"November 9, 2022",Harry Hernández,Miscelánea yolks ,Grocery store (aka. nanostore),1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,8d899887-52af-4d3d-8def-768e011d517e,"November 9, 2022",Ismael López,Cravings,Cafeteria,5.0,2.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0
35,4919cc09-3642-45fa-b86f-5e016dfabfcb,"November 10, 2022",José Zapata,Tacos de canasta,Micro-restaurant (aka. fondita),3.0,0.0,1.0,1.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
36,4277748d-95df-43ae-9e0d-637a6a83dc57,"November 10, 2022",Azael Mendoza,Mis Mar,Micro-restaurant (aka. fondita),0.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
